customer_id,age,annual_income,credit_score,gender,region,existing_debt,approved
CUST097,55,35561,590,Female,Urban,25102,0
CUST098,34,33418,732,Male,Semi-Urban,35560,0
CUST099,50,79496,551,Female,Semi-Urban,25524,0
CUST100,58,149002,530,Male,Semi-Urban,386,0
CUST101,43,64139,719,Male,Rural,48989,1
CUST102,55,129840,632,Male,Urban,17887,0
CUST103,48,88654,534,Male,Semi-Urban,43835,0
CUST104,64,129614,727,Female,Semi-Urban,8364,1
CUST105,55,28534,721,Female,Urban,42123,0
CUST106,50,48819,545,Male,Semi-Urban,21453,0
CUST107,34,84598,687,Male,Semi-Urban,18235,1
CUST108,47,58065,561,Male,Urban,49088,0
CUST109,55,31826,699,Female,Rural,4496,0
CUST110,62,30276,535,Female,Urban,54999,0
CUST111,30,56266,584,Male,Rural,7496,0
CUST112,57,149224,631,Male,Rural,16793,0
CUST113,44,46992,578,Female,Semi-Urban,7084,0
CUST114,40,100470,712,Male,Rural,12997,1
CUST115,25,102607,644,Female,Rural,50625,0
CUST116,64,103697,581,Female,Semi-Urban,34913,0
CUST117,44,34038,779,Male,Urban,55677,0
CUST118,47,132784,770,Female,Semi-Urban,23736,1
CUST119,50,117708,598,Male,Urban,48090,0
CUST120,54,110256,658,Male,Semi-Urban,28545,1
